;marca;preco
97;Notebook Acer Aspire 5 Intel Core i3-1005G1, 4GB RAM, SSD 128GB NVMe, 14 HD Ultrafino, UHD Graphics, Windows 10 Home, Prata - A514-53-31PN;R$ 2.627,99
98;Notebook Lenovo 100E Celeron, 4GB, 64GB SSD, Windows 10 PRO, 11.6 Polegadas, Antirreflexo, Preto - 81M8S01500;R$ 1.803,10
99;Notebook Lenovo V14, I7-1165G7, 8GB RAM, SSD 512GB, 14 Full HD, NVIDIA GeForce MX350, Windows 11 Pro, Preto - 82NM000RBR;R$ 5.279,12
100;Notebook, Samsung, Book Np550 Celeron, 4GB, 500GB, Linux, Cinza;R$ 1.888,00
101;Notebook Samsung Book, Intel Core I3-1115G4, 4GB RAM, SSD 256GB, 15.6 Full HD, Windows 11 Home, Cinza Chumbo - NP550XDA-KV3BR;R$ 2.599,00
102;Notebook Lenovo Ultrafino Ideapad Core I3 10110u, 4GB DDR4, SSD 256GB, Tela 15.6, Linux, Prata - 82BSS00100;R$ 2.650,22
103;Notebook Acer Aspire 3 Intel Core i3 1005G1, 8GB RAM, 256GB SSD, 15.6 LED HD, Windows 11, Cinza - A315-56-39UP;R$ 2.949,00
104;Notebook Lenovo IdeaPad 3I, I3-1115G4, 4GB RAM, SSD 128GB, Tela 15.6 Full HD, Windows 11 - 82MD000FBR;R$ 2.375,12
105;Notebook Gamer Acer Nitro 5 An517-54-56q0 Ci5, 8 GB RAM DDR4, Gtx 1650, 1TB HDD, 256GB SSD, Tela 17.3 Polegadas, Full HD, Windows 11 Home, Preto;R$ 5.129,05
106;Notebook Positivo Motion Q4128C, Intel Atom Quad-Core, Windows 10 Home, 14'' - Dourado;R$ 1.199,00
107;Notebook HP Compaq Presario 427 Intel Pentium N3700, 4GB RAM, SSD 240GB, 14 Polegadas LED HD TN, Intel HD Graphics, Linux, Cinza;R$ 1.299,00
108;"Notebook Gamer Legion 5 R7-5800H, 16GB, 512GB SSD, RTX3050, 4GB, 15.6"" Full HD WVA, Windows 11, Shadow Black - 82qj0000br";R$ 6.749,10
109;Notebook Lenovo, Ideapad Gaming 3i, I7-11370h, 16GB, 512GB, Ssd Rtx 3050 4GB 15.6'', FHD Wva W11 - 82mg0003br;R$ 6.335,12
110;Notebook Lenovo, Ideapad Gaming 3i I5-11300h, 8GB, 512GB, SSD Rtx 3050, 4GB, 15.6'' FHD, Wva, Linux - 82mgs00300;R$ 4.839,12
111;"Notebook Positivo Motion Intel Atom - 4GB, 128GB eMMC, 14.1"" LED,  Windows 10";R$ 1.299,00
112;Notebook Dell 15 Vostro 3510, Intel Core I5-1135G7, 8GB RAM, SSD 256GB, Windows 10 Pro, Cinza - 210-Bcdk-Nbv34;R$ 4.699,00
113;"Chromebook Samsung Intel Celeron N4020, 4GB RAM, 32GB e.MMC, 11,6"" HD Antirreflexo, Intel UHD, Google Chrome - XE310XBA-KT3BR";R$ 1.734,99
114;Notebook Lenovo ThinkPad E14 Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 14 Full HD, Iris Xe, Windows 11 Pro, Preto - 20TB002HBO;R$ 5.599,99
115;Notebook Vaio FE14 Intel Core i3-1215U, 4GB RAM, SSD 256GB, 14 Full HD, Windows 11, Cinza Grafite - VJFE44F11X-B0721H;R$ 2.942,99
116;Notebook Gamer Dell G15 Intel Core i5-12500H, 8GB RAM, GeForce RTX3050, SSD 512GB, 15.6 Full HD, Windows 11, Preto - G15-i1200-A20P;R$ 7.099,99
117;Notebook Compaq Presario 433, Intel Core I3, Linux, 4GB, 1TB, 14'' - Cinza;R$ 2.459,00
118;Notebook Gamer Acer Nitro 5 AMD Ryzen 7-4800H, GeForce GTX 1650, 8GB RAM, SSD 512GB, 15.6' Full HD IPS 144Hz, Win11 - AN515-44-R4KA;R$ 5.999,99
119;Notebook Gamer Acer Nitro 5 AMD Ryzen 7-4800H, 8GB RAM, SSD 512GB, GeForce GTX 1650, 15.6 Full HD, Linux, Preto - AN515-44-R11B;R$ 5.499,99
120;Notebook Samsung Galaxy Book S, Intel Core I5, RAM 8GB, SSD 256GB, 13.3pol, Intel UHD Graphics G7, Windows 11 Home, Cinza - NP767XCM-K03BR;R$ 6.246,45
121;Notebook Asus, Intel Celeron, RAM 4GB, 128GB, Tela 15.6 HD, Intel UHD Graphics 600, Windows 11 PRO, Azul - E510MA-BR701X;R$ 1.999,00
122;Notebook Acer Aspire 5, Intel Core I7, Memória RAM 8GB, SSD 512GB, 14 Polegadas Full HD, Intel Iris XE Graphics, Windows 11 Home - A514-54-789C;R$ 5.999,00
123;Notebook Lenovo IdeaPad 3 Ryzen 5-5500u 8GB, SSD 256GB, 15.6 polegadas Full HD Antirreflexo, Integrada AMD Radeon Graphics, Windows 11, Prata - 82MF0003BR;R$ 3.111,77
124;Notebook Acer Aspire 5 A515-45-r4zf AMD  Ryzen 7 Linux Gutta 8GB 256GB SDD 15,6 Polegadas Full HD;R$ 4.399,00
125;Notebook Lenovo V14 Intel Core i5-1135g7, 8GB RAM, 256GB SSD, Tela 14 polegadas FHD, Windows 11 Home - 82nm0012br Preto;R$ 3.167,12
